Transcriptions,Signature,Burial place,Mother,Instruments,Battles/wars,Parent(s),Rank,Spouse(s),Honours,Branch,2002–2007,Known for,"Service/, branch",Resting place,Place of Birth,Board member of,Partner(s),Relative(s),Genres,Website,Years of service,Burial,Issue,Other names,Name,Commands held,Spouses,Born,Family,Jyutping,Occupation,Succeeded by,Citizenship,Employer(s),Origin,Religion,Relatives,Education,Death Place,Works,Father,Awards,Birth Date,Organizations,President,Medium,Died,Allegiance,Hanyu Pinyin,Simplified Chinese,Height,Labels,Years active,Partner,1997–2007,Cause of death,Occupations,Traditional Chinese,Monuments,Service number,Losses,Partners,Instrument(s),Parent,Children,Full Birth Name,Organization,Reach,Spouse,Alma mater,Title,Occupation(s),Unit,Wins,Formerly of,Parents,House,Weight(s),Preceded by,Notable work,Political party,Nationality,Wade–Giles
,,,,,,,,,,,,,,"Home of Peace Cemetery, , Los Angeles, California, U.S.","Laupheim, ,, Kingdom of Württemberg, (now Germany)",,,,,,,,,,Carl Laemmle,,,,"Stanley Bergerman, (son-in-law), Carla Laemmle, (niece)",,,,,,,,,,"Los Angeles, ,, California, , U.S.",,,,1867-01-17,,,,1939-09-24,,,,,,1909–1939,,,,,,,,,,,,"Rosabelle Laemmle Bergerman (1903–1965), Carl Laemmle Jr., (1908–1979)",Karl Lämmle,,,Recha Stern,,,,,,,,,,,,,,
,,,,,,,,"George Hoeppert,  ,  , (, m., 1894;, div., 1906),  , James Henry Dalton,  ,  , (, m., 1907; died 1921),  ",,,,,,"Forest Lawn Memorial Park, Glendale","Cobourg, Ontario, , Canada",,,,,,,,,,Marie Dressler,,,,,,Actress,,"Canada, United States",,,,,,"Santa Barbara, California, , U.S.",,,,1868-11-09,,,,1934-07-28,,,,,,1886–1934,,,,,,,,,,,,,Leila Marie Koerber,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"One of the three founders of, Paramount Pictures",,,"Ricse, ,, Kingdom of Hungary, ,, Austria-Hungary",,,,,,,,,,Adolph Zukor,,,,,,Film producer,,,,,,,,"Los Angeles, ,, California, , U.S.",,,,1873-01-07,,,,1976-06-10,,,,,,1903–1959,,,,,,,,,,,,2,,,,"Lottie Kaufman,  , (, m., 1897⁠–⁠1956),  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Mount Tabor Methodist Church Graveyard,, Centerfield, Kentucky, , U.S.","Oldham County, Kentucky, , U.S.",,,,,,,,,,D. W. Griffith,,"Linda Arvidson,  ,  , (, m., 1906;, div., 1936),  , Evelyn Baldwin,  ,  , (, m., 1936;, div., 1947),  ",,,,,,,,,,,,"Hollywood, California, , U.S.",,,,1875-01-22,,,,1948-07-23,,,,,,1895–1931,,,,"Director, producer",,,,,,,,,David Wark Griffith,,,,,,,,,,,,,,,,,
,,,,,,"Maurice Barrymore, Georgiana Drew",,"Doris Rankin,  ,  , (, m., 1904;, div., 1922),  , Irene Fenwick,  ,  , (, m., 1923; died 1936),  ",,,,,,,"Philadelphia, ,, Pennsylvania, , U.S.",,,,,,,,,,Lionel Barrymore,,,,Barrymore,,Actor,,,,,,,,"Los Angeles, California, , U.S.",,,,1878-04-28,,,,"November 15, 1954, 1954-11-15, aged 76",,,,,,1893–1954,,,,,,,,,,,,2,Lionel Herbert Blythe,,,,,,,,,,,,,,,Republican,,
,,,,,,,,,,,,"Max Factor, Cosmetics",,"Hillside Memorial Park Cemetery, ,, Culver City, , California, U.S.","Zduńska Wola, ,, Congress Poland, ,, Russian Empire",,,,,,,,,,Max Factor Sr.,,"Esther Rosa ""Lizzie"" Faktorowicz,  ,  , (, m., 1896; died 1906),  , Huma ""Helen"" Sradkowska,  ,  , (, m., 1906;, div., 1908),  , Jennie Cook,  ,  , (, m., 1908),  ",,,,,,"American (, naturalized, )",,,,"John Factor, (half-brother), Andrew Luster, (great-grandson)",,"Beverly Hills, California, , U.S.",,,"Honorary Academy Award, (1929)",1877-09-15,,,,1938-08-30,,,,,,1887–1938,,,,,,Hollywood Walk of Fame,,,,,,"5, including, Francis ""Frank"" Factor (Max Factor Jr.)",Maksymilian Faktorowicz,,,,,,Entrepreneur; wig and cosmetics technician; inventor,,,,,,,,,,Polish,
,,,,,,"Henry Churchill de Mille, Matilda Beatrice deMille",,,,,,,,Hollywood Forever Cemetery,"Ashfield, Massachusetts, , U.S.",,,,,Official website,,,,,Cecil B. DeMille,,,,,,,,,,,,"William C. deMille, (brother), Agnes de Mille, (niece), Peggy George, (niece)",,"Los Angeles, , California, U.S.",,,,1881-08-12,,,,1959-01-21,,,,,,1899–1958,,,,"Director, producer, screenwriter, editor, actor",,,,,,,,"4, including, Katherine DeMille, (adopted) and, Richard de Mille, (adopted)",Cecil Blount DeMille,,,"Constance Adams DeMille,  ,  , (, m., 1902),  ","Pennsylvania Military College, American Academy of Dramatic Arts",,,,,,,,,,,Republican,,
,,,,,,,,"Blanche Lasky,  ,  , (, m., 1910;, div., 1915),  , Frances Howard,  ,  , (, m., 1925),  ",,,,,,"Forest Lawn Memorial Park, ,, Glendale, California, , U.S.","Warsaw, ,, Kingdom of Poland, ,, Russian Empire",,,,,,,,,Samuel Goldfish,Samuel Goldwyn,,,,,,,,,,,,"Tony Goldwyn, (grandson), John Goldwyn, (grandson), Liz Goldwyn, (granddaughter)",,"Los Angeles, California, , U.S.",,,,"August 27, 1882",,,,1974-01-31,,,,,,1917–1959,,,,,,,,,,,,"2, including, Samuel Jr.",Szmuel Gelbfisz,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Mount Vernon Cemetery, , Philadelphia, Pennsylvania","Philadelphia, ,, Pennsylvania, , U.S.",,,,,,,,,,John Barrymore,,,,,,,,,,,,"See, Barrymore family",,"Los Angeles, ,, California, , U.S.",,,,"February 14 or 15, 1882",,,,1942-05-29,,,,,,,,,,,,,,,,,,,John Sidney Blyth,,,,,,,,,,,,,,,,,
,,,,,,,,"Frances Cleveland (""Cleva"") Creighton,  ,  , (, m., 1905;, div., 1913),  , Hazel Bennett Hastings,  ,  , (, m., 1915),  ",,,,,,Forest Lawn Memorial Park (Glendale),"Colorado Springs, Colorado, , U.S.",,,,,"lonchaney, .com",,,,"Lon Chaney Sr., The Man of a Thousand Faces",Lon Chaney,,,,,,,,,,,,,,"Los Angeles, California, , U.S.",,,,1883-04-01,,,,1930-08-26,,,,,,1902–1930,,,,"Actor, director, screenwriter, makeup artist",,,,,,,,"Lon Chaney Jr., (born Creighton Tull Chaney)",Leonidas Frank Chaney,,,,,,,,,,,,,,,,,
