Name,Full Birth Name,Birth Date,Place of Birth,Died,Death Place,Resting place,Children,Spouse/Spouses,Occupation/Occupations,Start career,End career,Birth Year,Death Year
Carl Laemmle,Karl Lämmle,1867-01-17,"Laupheim,  Kingdom of Württemberg, (now Germany)",1939-09-24,"Los Angeles,  California, U.S.","Home of Peace Cemetery, , Los Angeles, California, U.S.",3,Recha Stern,,1909,1939,1867,1939
Marie Dressler,Leila Marie Koerber,1868-11-09,"Cobourg, Ontario, Canada",1934-07-28,"Santa Barbara, California, U.S.","Forest Lawn Memorial Park, Glendale",,"George Hoeppert, James Henry Dalton",actress,1886,1934,1868,1934
Adolph Zukor,,1873-01-07,"Ricse,  Kingdom of Hungary,  Austria-Hungary",1976-06-10,"Los Angeles,  California, U.S.",,2,Lottie Kaufman,film producer,1903,1959,1873,1976
D. W. Griffith,David Wark Griffith,1875-01-22,"Oldham County, Kentucky, U.S.",1948-07-23,"Hollywood, California, U.S.","Mount Tabor Methodist Church Graveyard,, Centerfield, Kentucky, , U.S.",,"Linda Arvidson, Evelyn Baldwin","director, producer",1895,1931,1875,1948
Lionel Barrymore,Lionel Herbert Blythe,1878-04-28,"Philadelphia,  Pennsylvania, U.S.",1954-11-15,"Los Angeles, California, U.S.",,2,"Doris Rankin, Irene Fenwick",actor,1893,1954,1878,1954
Max Factor Sr.,Maksymilian Faktorowicz,1877-09-15,"Zduńska Wola,  Congress Poland,  Russian Empire",1938-08-30,"Beverly Hills, California, U.S.","Hillside Memorial Park Cemetery, ,, Culver City, , California, U.S.",5,"Esther Rosa ""Lizzie"" Faktorowicz, Huma ""Helen"" Sradkowska, Jennie Cook","entrepreneur, wig and cosmetics technician, inventor",1887,1938,1877,1938
Cecil B. DeMille,Cecil Blount DeMille,1881-08-12,"Ashfield, Massachusetts, U.S.",1959-01-21,"Los Angeles, California, U.S.",Hollywood Forever Cemetery,4,Constance Adams DeMille,"director, producer, screenwriter, editor, actor",1899,1958,1881,1959
Samuel Goldwyn,Szmuel Gelbfisz,1882-08-27,"Warsaw,  Kingdom of Poland,  Russian Empire",1974-01-31,"Los Angeles, California, U.S.","Forest Lawn Memorial Park, ,, Glendale, California, , U.S.",2,"Blanche Lasky, Frances Howard",,1917,1959,1882,1974
John Barrymore,John Sidney Blyth,1882-02-14,"Philadelphia,  Pennsylvania, U.S.",1942-05-29,"Los Angeles,  California, U.S.","Mount Vernon Cemetery, , Philadelphia, Pennsylvania",,,,,,1882,1942
Lon Chaney,Leonidas Frank Chaney,1883-04-01,"Colorado Springs, Colorado, U.S.",1930-08-26,"Los Angeles, California, U.S.",Forest Lawn Memorial Park (Glendale),2,"Frances Cleveland  Creighton, Hazel Bennett Hastings","actor, director, screenwriter, makeup artist",1902,1930,1883,1930
