id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
2595,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,5.41610040220442,30,48,0.31,3,308
5121,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,Private room,4.0943445622221,30,50,0.32,2,365
5136,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,5.616771097666572,21,2,0.02,1,250
5178,Manhattan,Midtown,40.76457,-73.98317,Private room,4.219507705176107,2,536,3.37,1,172
5203,Manhattan,Upper West Side,40.8038,-73.96751,Private room,4.31748811353631,2,118,0.76,1,0
5295,Manhattan,Morningside Heights,40.80316,-73.96387,Entire home/apt,4.90527477843843,30,56,0.35,2,30
5803,Brooklyn,South Slope,40.66801,-73.98784,Private room,4.770684624465665,4,211,1.32,3,312
6848,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,4.430816798843313,30,184,1.16,1,227
74860,Brooklyn,Greenpoint,40.72364,-73.95013,Entire home/apt,4.31748811353631,30,3,0.02,1,0
6872,Manhattan,East Harlem,40.80107,-73.94255,Private room,4.174387269895637,30,0,0.0,2,334
44229,Brooklyn,Fort Greene,40.69287,-73.97108,Private room,4.700480365792417,30,231,1.63,2,335
6990,Manhattan,East Harlem,40.78778,-73.94759,Private room,4.127134385045092,30,238,1.55,1,254
75635,Manhattan,Lower East Side,40.71911,-73.98588,Entire home/apt,5.075173815233827,3,336,2.45,1,182
7064,Brooklyn,Williamsburg,40.71248,-73.95881,Private room,4.499809670330265,7,9,0.06,2,5
7097,Brooklyn,Fort Greene,40.691083,-73.972544,Entire home/apt,5.293304824724492,2,294,1.95,2,273
7801,Brooklyn,Williamsburg,40.71778,-73.9568,Entire home/apt,5.978885764901122,30,9,0.06,1,348
77517,Brooklyn,Williamsburg,40.71407,-73.96657,Private room,4.605170185988092,28,3,0.02,3,338
44288,Manhattan,West Village,40.73737,-74.00437,Entire home/apt,5.135798437050262,30,88,0.61,1,132
44973,Brooklyn,Williamsburg,40.70894,-73.95234,Entire home/apt,4.6443908991413725,30,125,0.88,1,122
8490,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,Entire home/apt,4.90527477843843,2,149,0.96,2,260
77765,Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,5.521460917862246,3,41,0.3,30,202
9357,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,5.1647859739235145,30,58,0.38,1,0
9704,Manhattan,Harlem,40.81317,-73.95465,Private room,4.007333185232471,30,98,1.01,1,116
10452,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,4.406719247264253,30,80,0.54,5,263
80493,Manhattan,East Village,40.72322,-73.98615,Private room,4.007333185232471,2,201,1.48,1,98
80684,Brooklyn,Greenpoint,40.73756,-73.9535,Hotel room,6.270988431858299,3,10,0.08,30,164
80700,Brooklyn,Greenpoint,40.73777,-73.95366,Private room,5.8944028342648505,3,8,0.06,30,198
45542,Manhattan,Harlem,40.82569,-73.93842,Entire home/apt,4.605170185988092,30,18,0.4,1,0
45556,Brooklyn,Fort Greene,40.68834,-73.97578,Private room,4.174387269895637,2,317,2.22,2,153
45910,Queens,Ridgewood,40.70309,-73.89963,Entire home/apt,5.978885764901122,30,13,0.1,6,358
10962,Brooklyn,South Slope,40.66692,-73.98981,Private room,4.77912349311153,4,204,1.32,3,284
45935,Bronx,Mott Haven,40.80635,-73.92201,Private room,4.0943445622221,30,0,0.0,1,83
11943,Brooklyn,Flatbush,40.63702,-73.96327,Private room,5.0106352940962555,30,0,0.0,1,0
45936,Manhattan,Morningside Heights,40.8063,-73.95985,Private room,4.31748811353631,31,133,0.96,1,145
80924,Brooklyn,Park Slope,40.67407,-73.98105,Entire home/apt,5.075173815233827,30,37,0.36,2,154
12192,Manhattan,East Village,40.72296,-73.98383,Private room,4.31748811353631,7,274,1.79,2,24
81739,Brooklyn,Greenpoint,40.73777,-73.95366,Private room,5.8944028342648505,3,2,0.01,30,198
46911,Brooklyn,Prospect Heights,40.68022,-73.97457,Private room,4.787491742782046,3,59,0.41,3,267
12937,Queens,Long Island City,40.74757,-73.94571,Private room,4.941642422609304,3,325,2.23,1,124
12940,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,4.77912349311153,30,72,0.47,1,186
82928,Brooklyn,Bedford-Stuyvesant,40.68433,-73.94469,Entire home/apt,5.0106352940962555,30,75,0.96,1,66
13121,Queens,Jamaica,40.67144,-73.76501,Private room,4.31748811353631,2,70,0.49,4,363
